transpotation,start,-,-,-,end,-,-,-,-,-,-,-,-,,
type,date,country,region,type,type,date,country,region,type,time(Min),price,currency,memo,,
Bus,2022/10/14,COL,Bogota,Terminal,2022/10/14,COL,Bogota,Terminal,10,60,2300,COP,-,,
Bus,2022/10/14,COL,Bogota,Terminal,2022/10/14,COL,Melgar,Terminal,122,120,15000,COP,-,,
Taxi,2022/10/14,COL,Melgar,Central,2022/10/14,COL,Melgar,Inn,2.5,5,6000,COP,-,,
Taxi,2022/10/14,COL,Melgar,Inn,2022/10/14,COL,Melgar,Central,2.5,5,6000,COP,-,,
Taxi,2022/10/14,COL,Melgar,Central,2022/10/14,COL,Melgar,Inn,2.5,5,7000,COP,-,,
Taxi,2022/10/15,COL,Melgar,Inn,2022/10/15,COL,Melgar,Central,2.5,5,6000,COP,-,,
Bus,2022/10/15,COL,Melgar,Terminal,2022/10/15,COL,Ibage,Terminal,87.4,120,25000,COP,-,,
Bus,2022/10/17,COL,Ibage,Terminal,2022/10/17,COL,Pereira,Terminal,120,240,35000,COP,-,,
UBER,2022/10/17,COL,Pereira,Terminal,2022/10/17,COL,Pereira,Central,1.5,10,6114,COP,-,,
Bus,2022/10/17,COL,Pereira,Central,2022/10/17,COL,Pereira,Suberb,6,15,1000,COP,-,,
Bus,2022/10/17,COL,Pereira,Suberb,2022/10/17,COL,Pereira,Central,6,15,1000,COP,-,,
UBER,2022/10/18,COL,Pereira,Central,2022/10/18,COL,Pereira,Terminal,1.5,11,6857,COP,-,,
Bus,2022/10/18,COL,Pereira,Terminal,2022/10/18,COL,kari,Terminal,209,210,40000,COP,-,,
Bus,2022/10/18,COL,kari,Terminal,2022/10/18,COL,kari,Central,2.5,10,2000,COP,-,,
Taxi,2022/10/18,COL,kari,Central,2022/10/18,COL,kari,Inn,4,10,9000,COP,-,,
Bus,2022/10/19,COL,kari,Stop,2022/10/19,COL,kari,Inn,3.8,15,2000,COP,-,,
Taxi,2022/10/20,COL,kari,Inn,2022/10/20,COL,kari,Terminal,2.5,10,9000,COP,-,,
Bus,2022/10/20,COL,kari,Terminal,2022/10/20,COL,Manizales,Terminal,261,290,60000,COP,-,,
Taxi,2022/10/20,COL,Manizales,Terminal,2022/10/20,COL,Manizales,Central,3,20,8000,COP,-,,
Taxi,2022/10/21,COL,Manizales,Central,2022/10/21,COL,Manizales,Terminal,3,20,8000,COP,-,,
Bus,2022/10/21,COL,Manizales,Terminal,2022/10/21,COL,Honda,Terminal,137,290,30000,COP,-,,
Taxi,2022/10/21,COL,Honda,Terminal,2022/10/21,COL,Honda,Central,1,5,5000,COP,-,,
Bus,2022/10/22,COL,Honda,Terminal,2022/10/22,COL,Bogota,Terminal,155,410,35000,COP,-,,
Taxi,2022/10/22,COL,Bogota,Terminal,2022/10/22,COL,Bogota,Inn,5,15,22000,COP,-,,
Bus,2022/10/24,COL,Bogota,Inn,2022/10/24,COL,Bogota,Central,8,20,2500,COP,-,,
Bus,2022/10/24,COL,Bogota,Central,2022/10/24,COL,Bogota,Central,1,5,2500,COP,-,,
Taxi,2022/10/24,COL,Bogota,Central,2022/10/24,COL,Bogota,AirPort,1,5,4000,COP,-,,
AirPlane,2022/10/24,COL,Bogota,AirPort,2022/10/24,ECU,Quito,AirPort,712,90,47770,JPY,-,,
Bus,2022/10/24,ECU,Quito,AirPort,2022/10/24,ECU,RioCoca,Terminal,35,60,2.45,USD,-,,
Taxi,2022/10/24,ECU,RioCoca,Terminal,2022/10/24,ECU,Quito,Inn,3,15,4,USD,-,,
Bus,2022/10/25,ECU,Quito,Inn,2022/10/25,ECU,Quito,Central,5,15,0.35,USD,-,,
Bus,2022/10/25,ECU,Quito,Central,2022/10/25,ECU,Quito,Central,5,15,0.35,USD,-,,
