transpotation,start,-,-,-,end,-,-,-,-,-,-,-,-,,
type,date,country,region,type,type,date,country,region,type,time(Min),price,currency,memo,,
Bus,2022/12/3,CHL,La Serena,Terminal,2022/12/3,CHL,Santiago de Chile,Terminal,472,350,24000,CLP,-,,
Train,2022/12/3,CHL,Santiago de Chile,Station,2022/12/3,CHL,San Bernardo,Station,20,15,1000,CLP,-,,
Train,2022/12/3,CHL,San Bernardo,Station,2022/12/3,CHL,Santiago de Chile,Inn,20,15,1000,CLP,-,,
Bus,2022/12/3,CHL,Santiago de Chile,Terminal,2022/12/3,CHL,Santiago de Chile,Inn,3,10,300,CLP,-,,
Bus,2022/12/4,CHL,Santiago de Chile,Inn,2022/12/4,CHL,Santiago de Chile,Station,3,10,300,CLP,-,,
Train,2022/12/4,CHL,Santiago de Chile,Station,2022/12/4,CHL,Rancagua,Station,86.6,60,2500,CLP,-,,
Train,2022/12/4,CHL,Rancagua,Station,2022/12/4,CHL,Santiago de Chile,Station,86.6,60,2500,CLP,-,,
Bus,2022/12/4,CHL,Santiago de Chile,Station,2022/12/4,CHL,Santiago de Chile,Inn,3,10,300,CLP,-,,
Bus,2022/12/5,CHL,Santiago de Chile,Inn,2022/12/5,CHL,Santiago de Chile,Terminal,3,10,300,CLP,-,,
Bus,2022/12/5,CHL,Santiago de Chile,Terminal,2022/12/5,CHL,Valparaiso,Terminal,121,95,5000,CLP,-,,
Bus,2022/12/5,CHL,Valparaiso,Terminal,2022/12/5,CHL,Santiago de Chile,Terminal,121,95,4500,CLP,-,,
Bus,2022/12/5,CHL,Santiago de Chile,Terminal,2022/12/5,CHL,Santiago de Chile,Inn,3,10,300,CLP,-,,
Bus,2022/12/6,CHL,Santiago de Chile,Inn,2022/12/6,CHL,Santiago de Chile,Terminal,3,10,300,CLP,-,,
Bus,2022/12/6,CHL,Santiago de Chile,Terminal,2022/12/6,CHL,Copiapó,Terminal,806,660,30000,CLP,-,,
Bus,2022/12/7,CHL,Copiapó,Terminal,2022/12/7,CHL,Antofagasta,Terminal,540,540,30000,CLP,-,,
Bus,2022/12/7,CHL,Antofagasta,Terminal,2022/12/7,CHL,Antofagasta,Central,4.5,40,600,CLP,-,,
Bus,2022/12/8,CHL,Antofagasta,Central,2022/12/8,CHL,Antofagasta,Terminal,4.5,40,600,CLP,-,,
Bus,2022/12/8,CHL,Antofagasta,Terminal,2022/12/8,CHL,Calama,Terminal,217,180,6000,CLP,-,,
Bus,2022/12/8,CHL,Calama,Terminal,2022/12/8,CHL,San Pedro de Atacama,Terminal,101,90,4000,CLP,-,,
Bus,2022/12/9,CHL,San Pedro de Atacama,Central,2022/12/9,CHL,San Pedro de Atacama,Border,40,40,0,CLP,Tour,,
Bus,2022/12/9,CHL,San Pedro de Atacama,Border,2022/12/9,CHL,San Pedro de Atacama,Central,40,40,0,CLP,Tour,,
Bus,2022/12/10,CHL,San Pedro de Atacama,Terminal,2022/12/10,CHL,Calama,Terminal,101,90,4000,CLP,-,,
Bus,2022/12/11,CHL,Calama,Terminal,2022/12/11,BOL,Uyuni,Terminal,427,540,30000,CLP,-,,
Bus,2022/12/12,BOL,Uyuni,Central,2022/12/12,BOL,Uyuni,Lake,15.6,20,0,BOB,Tour,,
Bus,2022/12/12,BOL,Uyuni,Lake,2022/12/12,BOL,Uyuni,Central,15.6,20,0,BOB,Tour,,
Bus,2022/12/13,BOL,Uyuni,Terminal,2022/12/13,BOL,Potosí,Terminal,204,270,30,BOB,-,,
Taxi,2022/12/14,BOL,Potosí,Central,2022/12/14,BOL,Potosí,Terminal,10,20,10,BOB,-,,
Bus,2022/12/14,BOL,Potosí,Terminal,2022/12/14,BOL,Sucre,Terminal,155,210,20,BOB,-,,
Bus,2022/12/14,BOL,Sucre,Terminal,2022/12/14,BOL,Sucre,Central,1.7,10,2,BOB,-,,
Bus,2022/12/15,BOL,Sucre,Central,2022/12/15,BOL,Yotara,Central,18.4,30,4,BOB,-,,
Bus,2022/12/15,BOL,Yotara,Central,2022/12/15,BOL,Sucre,Central,18.4,30,4,BOB,-,,
Bus,2022/12/15,BOL,Sucre,Central,2022/12/15,BOL,Sucre,Suberb,5,30,4,BOB,Dinasour foot stamp,,
Bus,2022/12/15,BOL,Sucre,Suberb,2022/12/15,BOL,Sucre,Central,5,30,4,BOB,-,,
Bus,2022/12/16,BOL,Sucre,Central,2022/12/16,BOL,Sucre,Terminal,1.7,40,2,BOB,-,,
Bus,2022/12/16,BOL,Sucre,Terminal,2022/12/17,BOL,La Paz,Terminal,566,720,180,BOB,-,,
Taxi,2022/12/17,BOL,La Paz,Terminal,2022/12/17,BOL,La Paz,Inn,3.6,25,28,BOB,-,,
Ropeway,2022/12/17,BOL,La Paz,Inn,2022/12/17,BOL,La Paz,Central,1,10,3,BOB,-,,
Ropeway,2022/12/17,BOL,La Paz,Central,2022/12/17,BOL,La Paz,Central,1,10,3,BOB,-,,
Ropeway,2022/12/17,BOL,La Paz,Central,2022/12/17,BOL,La Paz,Central,1,10,3,BOB,-,,
Ropeway,2022/12/17,BOL,La Paz,Central,2022/12/17,BOL,La Paz,Inn,1,10,3,BOB,-,,
Ropeway,2022/12/18,BOL,La Paz,Inn,2022/12/18,BOL,La Paz,Terminal,4.2,40,3,BOB,Cemetary,,
Ropeway,2022/12/18,BOL,La Paz,Terminal,2022/12/18,BOL,El Alto,Central,4,20,3,BOB,-,,
Ropeway,2022/12/18,BOL,El Alto,Central,2022/12/18,BOL,El Alto,Central,4,20,3,BOB,-,,
Ropeway,2022/12/18,BOL,El Alto,Central,2022/12/18,BOL,La Paz,Central,4,20,3,BOB,new central,,
Ropeway,2022/12/18,BOL,La Paz,Central,2022/12/18,BOL,La Paz,Inn,4,20,3,BOB,-,,
Ropeway,2022/12/19,BOL,La Paz,Inn,2022/12/19,BOL,La Paz,Terminal,4.2,40,3,BOB,Cemetary,,
Bus,2022/12/19,BOL,La Paz,Terminal,2022/12/19,BOL,Copacabana,Terminal,143,195,20,BOB,-,,
Bus,2022/12/20,BOL,Copacabana,Central,2022/12/20,PER,Casani,Central,8.9,20,10,BOB,-,,
Boat,2022/12/20,PER,Casani,Central,2022/12/20,PER,Puno,Port,150,300,150,BOB,-,,
Tuktuk,2022/12/22,PER,Puno,Central,2022/12/22,PER,Puno,Port,1.2,5,9,PEN,-,,
Boat,2022/12/22,PER,Puno,Port,2022/12/22,PER,Casani,Port,150,300,100,PEN,-,,
Bus,2022/12/22,PER,Casani,Port,2022/12/22,BOL,Copacabana,Terminal,8.9,20,4,BOB,-,,
Bus,2022/12/22,BOL,Copacabana,Terminal,2022/12/22,BOL,La Paz,Terminal,143,255,20,BOB,Cemetary,,
Bus,2022/12/22,BOL,La Paz,Terminal,2022/12/22,BOL,La Paz,Terminal,4.5,60,3,BOB,-,,
Bus,2022/12/23,BOL,La Paz,Terminal,2022/12/23,BOL,Ciudad de Cochabamba,Terminal,381,540,106,BOB,-,,
Bus,2022/12/23,BOL,Ciudad de Cochabamba,Terminal,2022/12/23,BOL,Ciudad de Cochabamba,Central,5,14,2,BOB,-,,
Ropeway,2022/12/24,BOL,Ciudad de Cochabamba,Central,2022/12/24,BOL,Ciudad de Cochabamba,Stop,6.2,10,7.5,BOB,-,,
Ropeway,2022/12/24,BOL,Ciudad de Cochabamba,Stop,2022/12/24,BOL,Ciudad de Cochabamba,Central,6.2,10,7.5,BOB,-,,
Taxi,2022/12/26,BOL,Ciudad de Cochabamba,Central,2022/12/26,BOL,Ciudad de Cochabamba,Terminal,5,15,15,BOB,-,,
Bus,2022/12/26,BOL,Ciudad de Cochabamba,Terminal,2022/12/26,BOL,Santa Cruz de la Sierra,Terminal,481,720,70,BOB,-,,
Taxi,2022/12/26,BOL,Santa Cruz de la Sierra,Terminal,2022/12/26,BOL,Santa Cruz de la Sierra,Inn,3.3,10,20,BOB,-,,
Bus,2022/12/26,BOL,Santa Cruz de la Sierra,Inn,2022/12/26,BOL,Santa Cruz de la Sierra,Terminal,5,14,2,BOB,-,,
Bus,2022/12/27,BOL,Santa Cruz de la Sierra,Terminal,2022/12/27,BOL,Santa Cruz de la Sierra,Inn,5,14,2,BOB,-,,
Bus,2022/12/27,BOL,Santa Cruz de la Sierra,Inn,2022/12/27,BOL,Santa Cruz de la Sierra,Terminal,5,14,2,BOB,-,,
Bus,2022/12/29,BOL,Santa Cruz de la Sierra,Terminal,2022/12/29,BOL,Santa Cruz de la Sierra,Inn,5,14,2,BOB,-,,
UBER,2022/12/29,BOL,Santa Cruz de la Sierra,Inn,2022/12/29,BOL,Santa Cruz de la Sierra,Terminal,5,14,17,BOB,-,,
Bus,2022/12/29,BOL,Santa Cruz de la Sierra,Terminal,2022/12/30,BOL,Tarija,Terminal,659,1080,160,BOB,-,,
Taxi,2022/12/30,BOL,Tarija,Terminal,2022/12/30,BOL,Tarija,Central,8.3,15,20,BOB,-,,
Bus,2023/1/1,BOL,Tarija,Central,2023/1/1,BOL,Tarija,Terminal,8.3,15,2,BOB,-,,
Bus,2023/1/1,BOL,Tarija,Terminal,2023/1/1,BOL,Tarija,Central,8.3,15,2,BOB,-,,
Bus,2023/1/1,BOL,Tarija,Central,2023/1/1,BOL,Tarija,Terminal,8.3,15,2,BOB,-,,
Bus,2023/1/1,BOL,Tarija,Terminal,2023/1/1,BOL,Tarija,Central,8.3,15,2,BOB,-,,
Bus,2023/1/2,BOL,Tarija,Central,2023/1/2,BOL,Tarija,Terminal,8.3,15,2,BOB,-,,
Bus,2023/1/2,BOL,Tarija,Terminal,2023/1/3,ARG,Jujuy,Terminal,460,480,280,BOB,-,,
Taxi,2023/1/3,ARG,Jujuy,Terminal,2023/1/3,ARG,Jujuy,Inn,5.6,15,900,ARS,-,,
Bus,2023/1/3,ARG,Jujuy,Inn,2023/1/3,ARG,Jujuy,Terminal,5.6,20,200,ARS,-,,
Bus,2023/1/3,ARG,Jujuy,Terminal,2023/1/3,ARG,purmamarca,Terminal,67.3,80,650,ARS,-,,
Bus,2023/1/3,ARG,purmamarca,Terminal,2023/1/3,ARG,Jujuy,Central,62,70,650,ARS,-,,
Bus,2023/1/4,ARG,Jujuy,Central,2023/1/4,ARG,Jujuy,Terminal,5.6,20,200,ARS,-,,
Bus,2023/1/4,ARG,Jujuy,Terminal,2023/1/4,ARG,Salta,Terminal,115,180,2200,ARS,-,,
Ropeway,2023/1/5,ARG,Salta,Central,2023/1/5,ARG,Salta,Stop,8,15,1100,ARS,-,,
Ropeway,2023/1/5,ARG,Salta,Stop,2023/1/5,ARG,Salta,Central,8,15,1100,ARS,-,,
Bus,2023/1/6,ARG,Salta,Terminal,2023/1/6,ARG,Cafayate,Terminal,197,300,1300,ARS,-,,
Bus,2023/1/7,ARG,Cafayate,Terminal,2023/1/7,ARG,Salta,Terminal,197,240,1300,ARS,-,,
Bus,2023/1/7,ARG,Salta,Terminal,2023/1/8,ARG,Corrientes,Terminal,836,960,13250,ARS,-,,
Taxi,2023/1/8,ARG,Corrientes,Terminal,2023/1/8,ARG,Corrientes,Inn,4.2,10,1000,ARS,-,,
Taxi,2023/1/8,ARG,Corrientes,Inn,2023/1/8,ARG,Corrientes,Central,4.2,10,1000,ARS,-,,
UBER,2023/1/9,ARG,Corrientes,Inn,2023/1/9,ARG,Corrientes,Terminal,4.2,16,1043.9,ARS,-,,
Bus,2023/1/9,ARG,Corrientes,Terminal,2023/1/9,ARG,Puerto Iguazu,Terminal,610,600,10000,ARS,-,,
Bus,2023/1/10,ARG,Puerto Iguazu,Terminal,2023/1/10,BRA,Foz do Iguaçu,Stop,18,40,800,ARS,-,,
Bus,2023/1/10,BRA,Foz do Iguaçu,Stop,2023/1/10,ARG,Puerto Iguazu,Terminal,18,40,800,ARS,-,,
Bus,2023/1/10,ARG,Puerto Iguazu,Terminal,2023/1/10,ARG,Puerto Iguazu,Stop,17.9,40,600,ARS,-,,
Bus,2023/1/10,ARG,Puerto Iguazu,Stop,2023/1/10,ARG,Puerto Iguazu,Terminal,17.9,40,600,ARS,-,,
Bus,2023/1/11,ARG,Puerto Iguazu,Terminal,2023/1/11,PRY,Ciudad del este,Border,29.2,120,800,ARS,-,,
MotorCycle,2023/1/11,PRY,Ciudad del este,Border,2023/1/11,PRY,Ciudad del este,Terminal,3.7,10,40000,PYG,-,,
Bus,2023/1/11,PRY,Ciudad del este,Terminal,2023/1/11,PRY,Yguazú,Inn,63.2,60,40000,PYG,Minsyuku Kobayashi,,
Car,2023/1/12,PRY,Yguazú,Inn,2023/1/12,PRY,Yguazú,Central,10,20,0,PYG,-,,
Bus,2023/1/12,PRY,Yguazú,Central,2023/1/12,PRY,Yguazú,Inn,10,20,20000,PYG,-,,
Car,2023/1/13,PRY,Yguazú,Inn,2023/1/13,PRY,Yguazú,Park,5,10,0,PYG,-,Ito Park,
Car,2023/1/13,PRY,Yguazú,Park,2023/1/13,PRY,Yguazú,Inn,5,10,0,PYG,-,,
Car,2023/1/14,PRY,Yguazú,Inn,2023/1/14,PRY,Yguazú,Central,5,10,0,PYG,-,,
Bus,2023/1/14,PRY,Yguazú,Central,2023/1/14,PRY,Ciudad del este,Central,40.7,60,20000,PYG,-,,
Bus,2023/1/14,PRY,Ciudad del este,Central,2023/1/14,PRY,Itaipu,Suberb,17.4,30,5000,PYG,-,,
Bus,2023/1/14,PRY,Itaipu,Suberb,2023/1/14,PRY,Ciudad del este,Central,17.4,30,5000,PYG,-,,
Bus,2023/1/14,PRY,Ciudad del este,Central,2023/1/14,PRY,Yguazú,Central,40.7,60,10000,PYG,-,,
Bus,2023/1/15,PRY,Yguazú,Central,2023/1/15,PRY,30km,Stop,10,15,15000,PYG,-,,
Bus,2023/1/15,PRY,30km,Stop,2023/1/15,PRY,Encarnación,Terminal,250,300,80000,PYG,-,,
Bus,2023/1/16,PRY,Encarnación,Terminal,2023/1/16,PRY,Trinidad,Heritage,30.4,90,20000,PYG,-,,
Bus,2023/1/16,PRY,Trinidad,Heritage,2023/1/16,PRY,Encarnación,Terminal,30.4,90,20000,PYG,-,,
Bus,2023/1/17,PRY,Encarnación,Terminal,2023/1/17,PRY,Ciudad de Asunción,Terminal,364,560,110000,PYG,-,,
Bus,2023/1/17,PRY,Ciudad de Asunción,Terminal,2023/1/17,PRY,Ciudad de Asunción,Central,8.3,20,5000,PYG,-,,
Bus,2023/1/18,PRY,Ciudad de Asunción,Central,2023/1/18,PRY,Ciudad de Asunción,Terminal,8.3,20,5000,PYG,-,,
Bus,2023/1/18,PRY,Ciudad de Asunción,Terminal,2023/1/18,PRY,Ciudad de Asunción,Central,8.3,20,5000,PYG,-,,
UBER,2023/1/19,PRY,Ciudad de Asunción,Central,2023/1/19,PRY,Ciudad de Asunción,Terminal,8.3,11,30600,PYG,-,,
Bus,2023/1/19,PRY,Ciudad de Asunción,Terminal,2023/1/19,ARG,Resistencia,Terminal,334.7,500,140000,PYG,-,,
Taxi,2023/1/19,ARG,Resistencia,Terminal,2023/1/19,ARG,Resistencia,Central,5.4,10,1000,ARS,-,,
Taxi,2023/1/20,ARG,Resistencia,Central,2023/1/20,ARG,Resistencia,Terminal,5.4,10,1100,ARS,-,,
Bus,2023/1/20,ARG,Resistencia,Terminal,2023/1/20,ARG,Santa Fe de la Vera Cruz,Terminal,542,440,6000,ARS,-,,
Bus,2023/1/22,ARG,Santa Fe de la Vera Cruz,Terminal,2023/1/22,ARG,Córdoba,Terminal,368,300,4800,ARS,-,,
Taxi,2023/1/22,ARG,Córdoba,Terminal,2023/1/22,ARG,Córdoba,Central,1.9,5,700,ARS,-,,
Bus,2023/1/23,ARG,Córdoba,Terminal,2023/1/23,ARG,VillaCaropas,Terminal,36.8,60,400,ARS,-,,
Bus,2023/1/23,ARG,VillaCaropas,Terminal,2023/1/23,ARG,Córdoba,Terminal,36.8,60,400,ARS,-,,
Taxi,2023/1/24,ARG,Córdoba,Central,2023/1/24,ARG,Córdoba,Terminal,1.9,5,700,ARS,-,,
Bus,2023/1/24,ARG,Córdoba,Terminal,2023/1/25,ARG,Bahía Blanca,Terminal,973,780,11210,ARS,-,,
Bus,2023/1/25,ARG,Bahía Blanca,Terminal,2023/1/25,ARG,Bahía Blanca,Central,3.5,10,400,ARS,-,,
Bus,2023/1/25,ARG,Bahía Blanca,Central,2023/1/25,ARG,Bahía Blanca,Port,9.7,25,400,ARS,-,,
Bus,2023/1/25,ARG,Bahía Blanca,Port,2023/1/25,ARG,Bahía Blanca,Central,9.7,25,400,ARS,-,,
Bus,2023/1/26,ARG,Bahía Blanca,Central,2023/1/26,ARG,Bahía Blanca,Terminal,3.5,10,400,ARS,-,,
Bus,2023/1/26,ARG,Bahía Blanca,Terminal,2023/1/26,ARG,Mar del Plata,Terminal,465,420,5840,ARS,-,,
Taxi,2023/1/26,ARG,Mar del Plata,Terminal,2023/1/26,ARG,Mar del Plata,Central,3.1,10,600,ARS,-,,
Bus,2023/1/27,ARG,Mar del Plata,Central,2023/1/27,ARG,Mar del Plata,Beach,7.3,20,400,ARS,North Coast,,
Bus,2023/1/27,ARG,Mar del Plata,Beach,2023/1/27,ARG,Mar del Plata,Central,7.3,20,400,ARS,-,,
Bus,2023/1/28,ARG,Mar del Plata,Terminal,2023/1/28,ARG,La Plata,Terminal,369,360,5000,ARS,-,,
Bus,2023/1/29,ARG,La Plata,Terminal,2023/1/29,ARG,Buenos Aires,Central,55.1,60,2000,ARS,San Termo,,
Bus,2023/1/30,ARG,Buenos Aires,Central,2023/1/30,ARG,Buenos Aires,Central,9.5,25,300,ARS,Palermo,,
Bus,2023/1/30,ARG,Buenos Aires,Central,2023/1/30,ARG,Buenos Aires,Central,5.4,15,300,ARS,Ratio,,
Bus,2023/1/30,ARG,Buenos Aires,Central,2023/1/30,ARG,Buenos Aires,Central,5.4,15,300,ARS,San Termo,,
Ferry,2023/1/31,ARG,Buenos Aires,Port,2023/1/31,URY,Colonia del Sacramento,Port,56.6,90,10869,ARS,-,,
Bus,2023/2/1,URY,Colonia del Sacramento,Central,2023/2/1,URY,Nueva Parmira,Central,98.6,110,277,UYU,-,,
Bus,2023/2/1,URY,Nueva Parmira,Central,2023/2/1,URY,Colonia del Sacramento,Central,98.6,110,277,UYU,-,,
Bus,2023/2/2,URY,Colonia del Sacramento,Terminal,2023/2/2,URY,Montevideo,Terminal,179,180,505,UYU,-,,
Bus,2023/2/3,URY,Montevideo,Terminal,2023/2/3,URY,Florida,Terminal,105,90,336,UYU,-,,
Bus,2023/2/3,URY,Florida,Terminal,2023/2/3,URY,Montevideo,Terminal,105,90,284,UYU,-,,
Bus,2023/2/4,URY,Montevideo,Terminal,2023/2/4,URY,Punta del Este,Terminal,133,180,403,UYU,-,,
Bus,2023/2/4,URY,Punta del Este,Central,2023/2/4,URY,Mardonad,Central,4.4,10,40,UYU,-,,
Bus,2023/2/4,URY,Mardonad,Central,2023/2/4,URY,Punta del Este,Central,4.4,10,40,UYU,-,,
Bus,2023/2/5,URY,Punta del Este,Terminal,2023/2/5,URY,Cabo Polonio,Stop,142,160,442,UYU,-,,
Track,2023/2/5,URY,Cabo Polonio,Stop,2023/2/5,URY,Cabo Polonio,Beach,7,30,0,UYU,-,,
Track,2023/2/6,URY,Cabo Polonio,Beach,2023/2/6,URY,Cabo Polonio,Stop,7,30,0,UYU,-,,
Bus,2023/2/6,URY,Cabo Polonio,Stop,2023/2/6,URY,Punta del Diablo,Stop,60.8,90,187,UYU,-,,
Bus,2023/2/8,URY,Punta del Diablo,Stop,2023/2/8,URY,Cuy,Border,43,60,136,UYU,-,,
Walking,2023/2/8,URY,Cuy,Border,2023/2/8,BRA,Cuy,Border,0,1,0,BRL,Cross Border,,
Bus,2023/2/8,BRA,Cuy,Terminal,2023/2/8,BRA,Pelotas,Terminal,262,255,93,BRL,-,,
Taxi,2023/2/8,BRA,Pelotas,Terminal,2023/2/8,BRA,Pelotas,Inn,3,10,18,BRL,-,,
Bus,2023/2/9,BRA,Pelotas,Central,2023/2/9,BRA,Pelotas,Beach,2.2,10,5,BRL,-,,
Bus,2023/2/9,BRA,Pelotas,Beach,2023/2/9,BRA,Pelotas,Central,2.2,10,5,BRL,-,,
UBER,2023/2/10,BRA,Pelotas,Inn,2023/2/10,BRA,Pelotas,Terminal,3,8,9.97,BRL,-,,
Bus,2023/2/10,BRA,Pelotas,Terminal,2023/2/10,BRA,Porto Alegre,Terminal,262,195,106,BRL,-,,
UBER,2023/2/10,BRA,Porto Alegre,Terminal,2023/2/10,BRA,Porto Alegre,Inn,5,7,8.97,BRL,-,,
Subway,2023/2/11,BRA,Porto Alegre,Inn,2023/2/11,BRA,Porto Alegre,Terminal,5,1,4.5,BRL,-,,
Ferry,2023/2/11,BRA,Porto Alegre,Port,2023/2/11,BRA,Guaiba,Port,20,30,15,BRL,-,,
Ferry,2023/2/11,BRA,Guaiba,Port,2023/2/11,BRA,Porto Alegre,Port,20,30,15,BRL,-,,
UBER,2023/2/12,BRA,Porto Alegre,Inn,2023/2/12,BRA,Porto Alegre,Terminal,5,1,8.9,BRL,-,,
Bus,2023/2/12,BRA,Porto Alegre,Terminal,2023/2/12,BRA,Criciúma,Terminal,286,480,85,BRL,-,,
Bus,2023/2/13,BRA,Criciúma,Terminal,2023/2/13,BRA,Florianópolis,Terminal,207,240,60,BRL,-,,
Bus,2023/2/13,BRA,Florianópolis,Terminal,2023/2/13,BRA,Florianópolis,Inn,11.6,20,2,BRL,-,,
Bus,2023/2/14,BRA,Florianópolis,Inn,2023/2/14,BRA,Santa Catalina,Beach,29.6,90,2,BRL,North Beach,,
Bus,2023/2/14,BRA,Santa Catalina,Beach,2023/2/14,BRA,Santa Catalina,Beach,28.3,90,2,BRL,East Beach,,
Bus,2023/2/14,BRA,Santa Catalina,Beach,2023/2/14,BRA,Florianópolis,Terminal,19.1,45,2,BRL,-,,
Bus,2023/2/14,BRA,Florianópolis,Terminal,2023/2/14,BRA,Florianópolis,Central,4.3,20,2,BRL,Cruz Hill,,
Bus,2023/2/14,BRA,Florianópolis,Central,2023/2/14,BRA,Florianópolis,Inn,15,40,2,BRL,-,,
Bus,2023/2/15,BRA,Florianópolis,Inn,2023/2/15,BRA,Florianópolis,Terminal,11.6,20,2,BRL,-,,
Bus,2023/2/15,BRA,Florianópolis,Terminal,2023/2/15,BRA,Blumenau,Terminal,154,180,45,BRL,-,,
UBER,2023/2/15,BRA,Blumenau,Terminal,2023/2/15,BRA,Blumenau,Inn,5.6,10,13.94,BRL,-,,
Bus,2023/2/15,BRA,Blumenau,Inn,2023/2/15,BRA,Blumenau,Central,6.4,20,2,BRL,-,,
Bus,2023/2/15,BRA,Blumenau,Central,2023/2/15,BRA,Blumenau,Inn,6.4,20,2,BRL,-,,
UBER,2023/2/16,BRA,Blumenau,Inn,2023/2/16,BRA,Blumenau,Terminal,5.6,5,44.54,BRL,-,,
Bus,2023/2/16,BRA,Blumenau,Terminal,2023/2/16,BRA,Curitiba,Terminal,212,300,84.41,BRL,-,,
UBER,2023/2/16,BRA,Curitiba,Terminal,2023/2/16,BRA,Curitiba,Inn,5,18,14.98,BRL,-,,
Bus,2023/2/16,BRA,Curitiba,Inn,2023/2/16,BRA,Curitiba,Central,5,20,3,BRL,-,,
Bus,2023/2/16,BRA,Curitiba,Central,2023/2/16,BRA,Curitiba,Inn,5,20,3,BRL,-,,
Bus,2023/2/17,BRA,Curitiba,Inn,2023/2/17,BRA,Curitiba,Terminal,5,20,3,BRL,-,,
Bus,2023/2/17,BRA,Curitiba,Terminal,2023/2/17,BRA,Curitiba,Central,5,20,3,BRL,-,,
Bus,2023/2/17,BRA,Curitiba,Central,2023/2/17,BRA,Curitiba,Inn,5,20,3,BRL,-,,
Bus,2023/2/18,BRA,Curitiba,Inn,2023/2/18,BRA,Curitiba,Terminal,5,20,3,BRL,-,,
Bus,2023/2/18,BRA,Curitiba,Terminal,2023/2/18,BRA,Londrina,Terminal,384,540,173,BRL,-,,
UBER,2023/2/18,BRA,Londrina,Terminal,2023/2/18,BRA,Londrina,Inn,5,7,8.94,BRL,-,,
Bus,2023/2/19,BRA,Londrina,Inn,2023/2/19,BRA,Londrina,Terminal,5,20,3,BRL,-,,
Bus,2023/2/19,BRA,Londrina,Terminal,2023/2/19,BRA,Presidente Prudente,Terminal,167,210,93,BRL,-,,
Bus,2023/2/20,BRA,Presidente Prudente,Terminal,2023/2/20,BRA,Campo Grande,Terminal,431,420,209,BRL,-,,
UBER,2023/2/20,BRA,Campo Grande,Terminal,2023/2/20,BRA,Campo Grande,Inn,5.5,23,16.98,BRL,-,,
Bus,2023/2/21,BRA,Campo Grande,Central,2023/2/21,BRA,Campo Grande,Central,6,20,3,BRL,Park,,
Bus,2023/2/21,BRA,Campo Grande,Central,2023/2/21,BRA,Campo Grande,Inn,8,30,3,BRL,-,,
UBER,2023/2/22,BRA,Campo Grande,Inn,2023/2/22,BRA,Campo Grande,Terminal,5.5,24,17.93,BRL,-,,
Bus,2023/2/22,BRA,Campo Grande,Terminal,2023/2/22,BRA,Bonito,Terminal,260,330,95.5,BRL,-,,
Bus,2023/2/23,BRA,Bonito,Terminal,2023/2/23,BRA,Corumbá,Terminal,350,345,134,BRL,-,,
UBER,2023/2/23,BRA,Corumbá,Terminal,2023/2/23,BRA,Corumbá,Inn,5,7,9.9,BRL,-,,
Bus,2023/2/25,BRA,Corumbá,Terminal,2023/2/25,BRA,Campo Grande,Terminal,426,450,167.7,BRL,-,,
UBER,2023/2/25,BRA,Campo Grande,Terminal,2023/2/25,BRA,Campo Grande,Inn,5,6,8.66,BRL,-,,
UBER,2023/2/26,BRA,Campo Grande,Inn,2023/2/26,BRA,Campo Grande,Terminal,5,12,13.93,BRL,-,,
Bus,2023/2/26,BRA,Campo Grande,Terminal,2023/2/26,BRA,aracatuba,Terminal,475,570,135,BRL,-,,
UBER,2023/2/27,BRA,aracatuba,Inn,2023/2/27,BRA,aracatuba,Terminal,2.1,8,8,BRL,-,,
Bus,2023/2/27,BRA,aracatuba,Terminal,2023/2/27,BRA,Ribeirão Preto,Terminal,326,420,116,BRL,-,,
Bus,2023/2/28,BRA,Ribeirão Preto,Terminal,2023/2/28,BRA,Belo Horizonte,Terminal,514,660,189,BRL,-,,
UBER,2023/2/28,BRA,Belo Horizonte,Terminal,2023/2/28,BRA,Belo Horizonte,Inn,1.8,8,15.1,BRL,-,,
UBER,2023/3/1,BRA,Belo Horizonte,Inn,2023/3/1,BRA,Belo Horizonte,Terminal,1.8,8,12.92,BRL,-,,
Bus,2023/3/1,BRA,Belo Horizonte,Terminal,2023/3/1,BRA,Ouro Preto,Terminal,101,210,49.45,BRL,-,,
Taxi,2023/3/2,BRA,Ouro Preto,Inn,2023/3/2,BRA,Ouro Preto,Central,4.4,20,30,BRL,Hospital,,
Taxi,2023/3/2,BRA,Ouro Preto,Central,2023/3/2,BRA,Ouro Preto,Central,2.4,10,15,BRL,UPA Dom Orione,,
Taxi,2023/3/2,BRA,Ouro Preto,Central,2023/3/2,BRA,Ouro Preto,Inn,4,20,30,BRL,-,,
Bus,2023/3/3,BRA,Ouro Preto,Terminal,2023/3/3,BRA,Belo Horizonte,Terminal,101,210,49.45,BRL,-,,
UBER,2023/3/3,BRA,Belo Horizonte,Terminal,2023/3/3,BRA,Belo Horizonte,Inn,1.8,10,9.91,BRL,-,,
UBER,2023/3/4,BRA,Belo Horizonte,Inn,2023/3/4,BRA,Belo Horizonte,Terminal,1.8,6,11.92,BRL,-,,
Bus,2023/3/4,BRA,Belo Horizonte,Terminal,2023/3/4,BRA,Campinas,Terminal,579,400,130,BRL,-,,
Bus,2023/3/6,BRA,Campinas,Terminal,2023/3/6,BRA,Campinas,AirPort,16.3,40,5,BRL,-,,
